NAF_T3 : Répartition de la consommation de combustibles par usage en milliers de tonnes-équivalent-pétrole (kTEP) selon le secteur d'activité en NAF rév.2 de l'établissement,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70
14 - Industrie de l'habillement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,12,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,so,0,0,0
15 - Industrie du cuir et de la chaussure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,7,0,0,0,0,0,0,0,0,1,1,1,0,s,s,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,so,0,0,0
"16 - Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles - fabrication d'articles en vannerie et sparterie",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,s,s,53,0,0,0,0,0,3,0,0,1,4,0,0,0,0,1,3,s,s,9,13,0,0,0,0,0,s,0,0,0,s,251,0,0,s,s,0,0,0,0,0,0,0,0,0,0,s,so,0,s,s
17 - Industrie du papier et du carton,18,0,3,0,22,0,0,0,0,0,0,0,0,0,0,788,0,29,35,852,0,0,0,0,0,2,0,0,4,6,s,0,s,s,38,2,0,0,3,5,0,0,0,0,0,s,s,s,0,s,s,0,s,2,311,s,0,s,0,s,2,0,0,0,2,364,so,s,s,378
18 - Imprimerie et reproduction d'enregistrements,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,14,47,0,0,0,0,0,2,0,0,s,s,0,0,0,0,0,0,s,0,1,s,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,s,s,0,s,s,s,so,0,0,s
20 - Industrie chimique,s,s,s,s,s,s,0,0,0,s,s,s,0,0,59,1837,1013,40,84,2975,s,s,0,0,s,7,2358,0,3,2369,s,s,s,s,182,4,s,s,8,s,s,s,0,0,1176,0,s,0,0,s,52,0,0,s,s,71,0,s,0,s,3,s,0,s,6,842,so,5,16,863
21 - Industrie pharmaceutique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,46,168,0,0,0,0,0,0,0,0,0,1,0,s,0,0,s,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,0,0,0,s,93,so,0,5,98
22 - Fabrication de produits en caoutchouc et en plastique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,s,s,s,217,0,0,0,0,0,5,1,s,s,10,6,0,0,2,8,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,s,0,s,1,18,0,0,0,0,0,0,0,0,0,0,44,so,s,s,59
23 - Fabrication d'autres produits minéraux non métalliques,s,s,0,0,181,s,s,0,0,34,s,s,0,0,35,1300,s,0,s,1377,537,17,0,0,555,8,0,0,4,12,148,0,0,0,148,6,0,1,18,25,71,s,0,s,75,0,0,0,0,0,74,0,0,s,s,90,s,0,0,s,332,0,0,0,332,18,so,0,1,19
24 - Métallurgie,s,s,s,s,s,s,s,0,0,s,s,s,0,0,291,973,s,s,s,1073,s,s,0,s,s,5,s,s,4,9,6,0,s,s,s,11,s,0,11,s,s,s,0,0,s,0,0,0,0,0,s,0,0,s,s,s,s,0,0,s,0,0,0,0,0,19,so,0,3,22
"25 - Fabrication de produits métalliques, à l'exception des machines et des équipements",s,0,0,0,s,0,s,0,0,s,s,s,0,s,s,215,1,0,111,327,0,0,0,0,0,17,0,0,13,31,1,0,0,1,2,s,0,0,9,s,0,0,0,0,0,0,0,0,0,0,s,0,0,s,1,0,0,0,0,0,0,s,0,s,0,0,so,0,1,1
"26 - Fabrication de produits informatiques, électroniques et optiques",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,s,0,s,45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,s,s,0,2,2,0,0,0,s,s,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,0,0,0,0,0,0,so,0,0,1
27 - Fabrication d'équipements électriques,0,0,0,0,0,0,0,0,0,0,s,s,0,0,s,53,1,0,51,105,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,s,0,1,3,s,0,0,0,s,s,0,0,0,0,0,0,0,0,s,s,0,0,0,0,0,0,0,0,0,0,0,so,0,0,0
28 - Fabrication de machines et équipements n.c.a.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,87,138,0,0,0,0,0,4,0,0,4,8,0,0,0,0,1,1,1,1,6,9,s,s,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,s,0,0,s,0,0,so,0,0,0
29 - Industrie automobile,0,0,0,0,0,0,0,0,0,0,s,0,0,0,s,153,s,s,127,285,0,0,0,0,0,4,s,s,5,9,0,0,0,0,0,s,s,0,3,s,s,s,s,s,s,0,0,0,0,0,s,0,0,s,s,0,0,0,0,0,0,0,0,0,0,s,so,0,s,11
30 - Fabrication d'autres matériels de transport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,s,s,s,100,0,0,0,0,0,1,1,0,2,4,1,0,0,0,1,0,0,1,1,2,s,0,0,0,s,0,0,0,0,0,0,0,0,s,s,0,0,0,0,0,0,0,0,0,0,s,so,0,s,5
31 - Fabrication de meubles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,11,23,0,0,0,0,0,1,0,0,1,2,0,s,0,0,s,1,0,0,2,3,s,0,0,0,s,0,0,0,0,0,s,0,0,12,s,0,0,0,0,0,0,0,0,0,0,0,so,0,0,0
32 - Autres industries manufacturières,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,12,33,0,0,0,0,0,1,0,0,0,1,0,s,0,0,s,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,so,0,s,s
33 - Réparation et installation de machines et d'équipements,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,54,60,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,1,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,so,0,s,s
38 - Récupération,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,s,s,70,0,0,0,s,s,2,0,0,0,3,1,s,0,1,s,2,1,0,11,14,0,1,0,s,s,0,0,0,0,0,0,0,0,s,s,s,0,s,0,11,0,0,0,0,0,s,so,0,s,11
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Insee, Enquêtes annuelles sur les consommations d'énergie dans l'industrie 2015 (2 vagues d’interrogation).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
