,,Facture énergétique (en millions d'euros courants),Quantités achetées de combustibles minéraux solides,Quantités consommées de combustibles minéraux solides,Valeur des achats de combustibles minéraux solides,Prix moyen des combustibles minéraux solides,Quantités achetées de gaz,Quantités de gaz consommées,Valeur des achats de gaz,Prix moyen annuel du gaz de réseau (en € / Mwh),Quantités achetées de biogaz et biométhane,Quantités consommées de biogaz et biométhane,Valeur des achats de biogaz et biométhane,Prix moyen annuel du Biogaz et biométhane (en € /t),Quantités achetées de coke de pétrole,Quantités consommées de coke de pétrole,Valeur des achats de coke de pétrole,Prix moyen annuel du coke de pétrole (en € / t),Quantités achetées de butane-propane,Quantités consommées de butane-propane,Valeur des achats de butane-propane,Prix moyen annuel du butane-propane (en € / t),Quantités achetées de fioul lourd,Quantités consommées de fioul lourd,Valeur des achats de fioul lourd,Prix moyen annuel du fioul lourd (en € / t),Quantités achetées de fioul domestique,Quantités consommées de fioul domestique,Valeur des achats de fioul domestique,Prix moyen annuel du fioul domestique (en € / l),Quantités achetées de gazole non routier,Quantités consommées de gazole non routier,Valeur des achats de gazole non routier,Prix moyen annuel du gazole non routier (en € / l),Quantités achetées de bois,Quantités consommées de bois,Valeur des achats de bois,Prix moyen annuel du bois (en € / t),Quantités achetées de vapeur,Valeur des achats de vapeur,Prix moyen annuel de la vapeur (en € / t),Quantités achetées d’hydrogène,Quantités consommées d’hydrogène,Quantités auto produites d’hydrogène,Valeur des achats d’hydrogène,Prix moyen annuel d’hydrogène (en €/t),Autoproduction consommée,Autoproduction vendue d’hydrogène,Achats d’électricité,Quantités consommées d’électricité,Autoproduction électricité,Valeur des achats d'électricité,Prix moyen annuel de l’électricité (en € / Mwh)
22,Fabrication de produits en caoutchouc et en plastique,916.5,0,0,0,nd,2067,2067,123.9,59.9,s,s,s,s,0,0,0,nd,10.5,10.6,10.3,981.3,8.6,8.6,7.7,900.8,4764,4810.4,5.3,1.11,1125.2,1026.7,s,s,s,s,s,s,549.6,46.5,84.6,0,0,0,0,nd,0,0,5908.3,5946.5,46.5,721.5,122.1
23,Fabrication d'autres produits minéraux non métalliques,2322.5,380.3,382.9,101.2,266.1,19558,19558,1053.1,53.8,s,s,s,s,618.6,628.3,s,s,12.1,12.1,10.3,856.9,58.6,58.3,36.5,622.7,14628.7,14745.2,14.8,1.01,32003.9,31711.3,35.5,1.11,349.2,357,12.7,36.5,130.7,4.3,33.2,0.4,0.4,0,5.1,14479.8,0,0,8211.1,8301.6,102.3,919.4,112
24,Métallurgie,4848,6366.1,6296,1976.1,310.4,11678.6,11678.6,910.5,78,0,0,0,nd,214.5,188.8,138.5,645.9,6.5,6.6,5.8,892.9,1.1,1.1,0.9,834.6,12181.1,12113.6,14,1.15,11323.4,11359,12.9,1.14,s,s,0.3,s,290.1,9.9,34.1,s,1.8,s,17.1,s,s,0,18904.3,19182,297.6,1762,93.2
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",828.7,s,s,s,s,3026.7,3026.7,184.1,60.8,0,0,0,nd,s,s,s,s,17.9,17.9,16.6,924,4.7,4.6,4.2,904.4,s,s,7.8,s,3258.9,3254.9,3.7,1.15,3.4,s,0.3,92.1,s,s,s,0.4,0.4,0,s,s,0,0,4894,4950.4,59,600.4,122.7
26,"Fabrication de produits informatiques, électroniques et optiques",215.2,0,0,0,nd,342.1,342.1,20.8,60.7,s,s,1.8,s,0,0,0,nd,0.3,0.2,0.3,1022.6,0,0,0,nd,1095.6,987.4,1.3,1.16,262,264.5,0.3,1.16,s,s,s,s,17.4,1.9,109.2,s,s,0,s,s,0,0,2259.6,2269.9,10.3,190,84.1
27,Fabrication d'équipements électriques,327.4,s,s,s,s,923.7,923.7,55.5,60.1,10.8,10.8,s,s,0,0,0,nd,1.7,1.6,1.8,1098.6,s,s,s,s,2021.8,1971.8,2,0.99,1205.2,s,1.5,1.26,s,s,s,s,19,0.7,35.1,s,s,s,1.8,s,s,0,1970.7,1976.8,8.2,253.2,128.5
28,Fabrication de machines et équipements n.c.a.,312.3,0,0,0,nd,1292.4,1292.4,71.9,55.7,0.2,0.2,0,166.7,0,0,0,nd,7.9,7.6,6.9,876.7,0.2,0.2,s,s,6960.6,6721.5,7.4,1.06,6208.3,6405.6,7.5,1.2,s,s,s,s,s,1.6,s,0,0,0,0.5,20032,0,0,s,1749.1,16.1,216,s
29,Industrie automobile,759.1,0,0,0,nd,2773.4,2773.4,214.9,77.5,50.5,50.5,s,s,0,0,0,nd,8.2,8.2,7,858.6,s,s,s,s,1476.2,1351.1,1.6,1.09,s,s,s,s,s,s,s,s,218.4,13.7,62.9,s,s,0,s,s,0,0,3610.7,3635.9,33.7,519.2,143.8
30,Fabrication d'autres matériels de transport,341.4,0,0,0,nd,1246.8,1246.8,92.4,74.1,32.1,32.1,s,s,0,0,0,nd,2.2,2.2,2.1,955.6,s,s,s,s,1882.4,1896.9,2.2,1.16,s,s,1.7,s,s,s,1,s,167.5,3.9,23.4,0.6,0.6,0,3.4,5564.3,0,0,s,1853.5,46.7,234.7,s
31,Fabrication de meubles,58.4,0,0,0,nd,213.8,213.8,11.2,52.3,0,0,0,nd,0,0,0,nd,2.2,2.2,2.1,945.7,0,0,0,nd,2381.9,2314.9,2.4,1,31.4,39.6,0,0.96,5,68.5,s,s,0,0,nd,s,s,0,s,s,0,0,385.7,385.9,0.4,42.3,109.7
32,Autres industries manufacturières,93.8,0,0,0,nd,290.6,290.6,12.7,43.9,0,0,0,nd,0,0,0,nd,2.7,2.7,2.9,1063.4,0,0,0,nd,249.4,261.5,0.3,1.05,125.1,122.7,0.2,1.95,0,0,0,nd,s,s,s,s,s,0,s,s,0,0,608.4,608.9,0.5,77.6,127.5
33,Réparation et installation de machines et d'équipements,162.5,0,0,0,nd,s,s,11.9,s,s,s,s,s,0,0,0,nd,1.4,1.5,1.8,1307.1,s,s,s,s,s,s,1.8,s,11509.3,11431.3,13,1.13,s,s,s,s,19.8,1.4,68.9,s,s,0,s,s,0,0,925.5,951.9,32.9,131.4,142
38,"Collecte, traitement et élimination des déchets ; récupération",149.1,0,0,0,nd,s,s,33.2,s,s,s,s,s,0,0,0,nd,2.3,2.6,2.3,992.5,s,s,s,s,s,s,1.3,s,s,s,30.6,s,0.1,s,0,239.1,301.5,3.7,12.3,0,0,0,0,nd,0,0,691.4,758.3,236.1,78,112.8
_T,Total,25998,7436.9,7356.8,2298,309,123719.6,124199.3,8779.1,71,442.9,s,25.2,57,835.5,819.5,269.7,322.8,1589.6,1567.9,1145.2,720.4,138.3,138.3,100.5,727,168631.7,166493.3,167.2,0.99,222677.1,222496.6,251.2,1.13,2769.3,4264.3,95.9,34.6,25642.8,1519,59.2,29.5,111.9,120.3,147.4,4991.8,82.4,38,102178.9,107418.2,7876,11224.9,109.9
