"NAF_T2 : Achats et consommation en unité propre, valeur d'achat et prix moyens des produits énergétiques selon le secteur d'activité en NAF rév.2 de l'établissement",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
13 - Fabrication de textiles,so,so,136,so,0,0,0,so,0,0,0,so,0,0,0,so,1426,1426,48,33,0,0,0,so,5,5,2,506,3,3,1,378,3334,3533,2,0.52,0,0,0,so,0,0,0,so,1080,1086,83,77
14 - Industrie de l'habillement,so,so,18,so,0,0,0,so,0,0,0,so,0,0,0,so,162,162,6,39,0,0,0,so,0,0,0,550,0,0,0,so,1158,1105,1,0.58,0,0,0,so,2,2,0,43,s,123,11,89
15 - Industrie du cuir et de la chaussure,so,so,16,so,0,0,0,so,0,0,0,so,0,0,0,so,104,104,4,41,0,0,0,so,1,1,0,470,0,0,0,444,430,438,0,0.52,0,0,0,103,0,0,0,so,116,116,11,97
"16 - Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles - fabrication d'articles en vannerie et sparterie",so,so,199,so,0,0,0,so,0,0,0,so,0,0,0,so,703,703,20,29,0,0,0,so,3,3,2,635,3,3,1,396,16392,16368,9,0.55,s,s,s,s,139,139,3,19,2078,2080,154,74
17 - Industrie du papier et du carton,so,so,806,so,s,s,s,s,0,0,0,so,0,0,0,so,11247,11247,251,22,0,0,0,so,8,8,5,630,s,s,s,s,7288,7317,4,0.55,979,1256,42,43,5256,5256,95,18,7753,8606,396,51
18 - Imprimerie et reproduction d'enregistrements,so,so,131,so,0,0,0,so,0,0,0,so,0,0,0,so,s,s,s,s,0,0,0,so,1,1,0,550,0,0,0,so,1511,1628,1,0.49,1,1,0,50,s,s,s,s,1347,1347,108,80
20 - Industrie chimique,so,so,2861,so,653,648,59,91,s,s,s,s,44,38,11,242,39499,39499,797,20,s,s,s,s,2101,2106,719,342,95,102,28,291,16948,17084,9,0.52,309,394,16,52,13123,13123,296,23,18460,19082,919,50
21 - Industrie pharmaceutique,so,so,266,so,0,0,0,so,0,0,0,so,0,0,0,so,2278,2278,71,31,0,0,0,so,s,s,s,s,0,0,0,so,790,921,0,0.57,0,0,0,so,533,533,16,30,2397,2401,178,74
22 - Fabrication de produits en caoutchouc et en plastique,so,so,619,so,0,0,0,so,0,0,0,so,0,0,0,so,2930,2930,93,32,0,0,0,so,11,11,7,648,9,9,3,362,7923,7925,4,0.53,s,s,s,s,738,738,14,20,s,6758,496,74
23 - Fabrication d'autres produits minéraux non métalliques,so,so,1085,so,324,327,29,89,65,65,7,101,50,49,15,308,18530,18530,414,22,722,712,74,102,11,11,6,574,166,167,42,254,32710,32974,17,0.53,245,287,5,21,260,260,8,29,s,8100,468,58
24 - Métallurgie,so,so,2157,so,s,s,s,s,s,s,s,s,364,353,65,178,13745,13745,300,22,s,s,s,s,8,8,4,479,6,6,2,320,39953,40213,21,0.52,s,s,s,s,249,249,5,20,21581,21851,814,38
"25 - Fabrication de produits métalliques, à l'exception des machines et des équipements",so,so,594,so,s,s,s,s,s,s,s,s,s,s,s,s,4313,4313,152,35,0,0,0,so,33,34,19,568,0,0,0,398,11795,11915,6,0.55,3,7,0,62,11,11,0,42,5040,5041,413,82
"26 - Fabrication de produits informatiques, électroniques et optiques",so,so,183,so,0,0,0,so,0,0,0,so,0,0,0,so,s,s,s,s,0,0,0,so,0,0,0,1356,0,0,0,900,2811,3202,2,0.55,0,0,0,so,s,s,s,s,2129,2129,161,75
27 - Fabrication d'équipements électriques,so,so,222,so,0,0,0,so,0,0,0,so,s,s,s,s,1512,1512,52,34,0,0,0,so,4,4,3,674,0,0,0,991,5778,5944,3,0.52,s,s,s,s,10,10,1,85,2186,2188,159,73
28 - Fabrication de machines et équipements n.c.a.,so,so,302,so,0,0,0,so,0,0,0,so,0,0,0,so,1894,1894,75,40,0,0,0,so,9,9,7,697,2,2,1,470,15044,15278,8,0.56,0,5,0,125,0,0,0,so,s,2531,210,85
29 - Industrie automobile,so,so,454,so,0,0,0,so,0,0,0,so,11,9,3,240,4040,4040,115,29,0,0,0,so,8,8,5,566,1,1,1,639,4268,4369,2,0.58,3,7,0,71,178,178,4,20,4747,4760,324,68
30 - Fabrication d'autres matériels de transport,so,so,216,so,0,0,0,so,0,0,0,so,0,0,0,so,s,s,s,s,0,0,0,so,5,5,3,635,s,s,s,s,3362,3408,2,0.63,s,s,s,s,56,56,3,49,1938,1941,158,81
31 - Fabrication de meubles,so,so,60,so,0,0,0,so,0,0,0,so,0,0,0,so,265,265,10,39,0,0,0,so,2,2,1,714,0,0,0,so,2507,2482,1,0.47,1,68,0,325,0,0,0,so,573,574,47,81
32 - Autres industries manufacturières,so,so,90,so,0,0,0,so,0,0,0,so,0,0,0,so,402,402,16,39,0,0,0,so,1,1,1,790,0,0,0,so,1154,1148,1,0.5,0,0,0,so,21,21,1,37,861,861,72,84
33 - Réparation et installation de machines et d'équipements,so,so,48,so,0,0,0,so,0,0,0,so,0,0,0,so,209,209,8,39,0,0,0,so,1,1,1,880,0,0,0,333,2328,2382,1,0.62,0,0,0,so,s,s,s,s,s,s,s,s
38 - Récupération,so,so,103,so,0,0,0,so,0,0,0,so,0,0,0,so,606,606,16,26,0,0,0,so,17,17,14,849,0,0,0,925,31976,31973,18,0.56,s,s,s,s,140,140,2,13,s,715,53,88
"Note : la consommation d'énergie peut différer de la quantité achetée dans le cas d'énergies stockables (fioul par exemple), ou dans le cas de l'électricité (autoproduction consommée) et du bois (une partie non achetée).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Insee, Enquête annuelle sur les consommations d'énergie dans l'industrie 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
