Nom du fichier xlsx,EACEI_2023_T1,Unnamed: 2,Unnamed: 3
EACEI_MEASURE,Mesure,CUR_CSTP,Consommation de combustibles usuels
EACEI_MEASURE,Mesure,MR_CSTP,Consommation d’autres produits pétroliers
EACEI_MEASURE,Mesure,NR_CSTP,Consommation de liqueur noire
EACEI_MEASURE,Mesure,OR_CSTP,Consommation de bois et sous-produit du bois
EACEI_MEASURE,Mesure,PR_CSTP,Consommation d’hydrogène
EACEI_MEASURE,Mesure,XR_CSTP,Consommation de combustibles spéciaux renouvelables
EACEI_MEASURE,Mesure,YR_CSTP,Consommation de combustibles spéciaux non renouvelables
EACEI_MEASURE,Mesure,CAR_CSTP,Consommation autres combustibles
EACEI_MEASURE,Mesure,CR_CSTP,Vapeur consommée
EACEI_MEASURE,Mesure,BR_CSTP,Consommation d’électricité
EACEI_MEASURE,Mesure,CONSBRT_MILLIERS,Total brut de la consommation
EACEI_MEASURE,Mesure,CR_VTTP,Vapeur vendue
EACEI_MEASURE,Mesure,COMBPRB,Consommation de combustibles pour la production d'électricité
EACEI_MEASURE,Mesure,CONSNET_MILLIERS,Total net de la consommation
NUMBER_EMPL,Taille en tranches d'effectifs,E20T49,20 à 49 salariés
NUMBER_EMPL,Taille en tranches d'effectifs,E50T99,50 à 99 salariés
NUMBER_EMPL,Taille en tranches d'effectifs,E100T249,100 à 249 salariés
NUMBER_EMPL,Taille en tranches d'effectifs,E250T499,250 à 499 salariés
NUMBER_EMPL,Taille en tranches d'effectifs,E_GE500,500 salariés et plus
NUMBER_EMPL,Taille en tranches d'effectifs,_T,Total
UNIT_MEASURE,Unité de mesure,EUR,Euros
UNIT_MEASURE,Unité de mesure,EUR_GWH,Euros par gigawattheure
UNIT_MEASURE,Unité de mesure,EUR_L,Euros par litre
UNIT_MEASURE,Unité de mesure,EUR_T,Euros par tonne
UNIT_MEASURE,Unité de mesure,GWH,Gigawattheure
UNIT_MEASURE,Unité de mesure,L,Litre
UNIT_MEASURE,Unité de mesure,PT,Pourcentage
UNIT_MEASURE,Unité de mesure,T,Tonne
UNIT_MEASURE,Unité de mesure,TOE,Tonnes d'équivalent pétrole
UNIT_MEASURE,Unité de mesure,_Z,Nombre
