"COD_VAR";"LIB_VAR";"COD_MOD";"LIB_MOD"
"EACEI_MEASURE";"Mesure EACEI";"AUTRE_CSTP";"Quantités consommées de bois, liqueur noire, produits pétroliers secondaires et autres combustibles"
"EACEI_MEASURE";"Mesure EACEI";"BIOR_CSTP";"Consommation de biogaz et biométhane"
"EACEI_MEASURE";"Mesure EACEI";"BIOR_CSUP";"Consommation de biogaz et biométhane"
"EACEI_MEASURE";"Mesure EACEI";"BIOR_PRIX";"Prix moyen annuel du biogaz et biométhane"
"EACEI_MEASURE";"Mesure EACEI";"BIOR_QAUP";"Quantités achetées de biogaz et biométhane"
"EACEI_MEASURE";"Mesure EACEI";"BIOR_VALA";"Valeur des achats de biogaz et biométhane"
"EACEI_MEASURE";"Mesure EACEI";"BR_AUCO";"Quantité d’électricité produite et consommée"
"EACEI_MEASURE";"Mesure EACEI";"CR_VALA";"Valeur des achats de vapeur"
"EACEI_MEASURE";"Mesure EACEI";"CR_VTTP";"Vapeur vendue"
"EACEI_MEASURE";"Mesure EACEI";"BR_CONTRAT_CHANG_1_PROP";"Proportion d’établissements ayant renouvelé leur contrat d’électricité en 2023"
"EACEI_MEASURE";"Mesure EACEI";"CUR_CSTP";"Consommation de combustibles usuels"
"EACEI_MEASURE";"Mesure EACEI";"BR_CONTRAT_FIN_1_PROP";"Proportion d’établissements avec un contrat d’électricité au tarif réglementé"
"EACEI_MEASURE";"Mesure EACEI";"DR_CONTRAT_CHANG_1_PROP";"Proportion d’établissements ayant renouvelé leur contrat de gaz en 2023"
"EACEI_MEASURE";"Mesure EACEI";"BR_CONTRAT_FIN_2_PROP";"Proportion d’établissements avec un contrat d’électricité à prix fixe sur une durée contractuelle"
"EACEI_MEASURE";"Mesure EACEI";"DR_CONTRAT_CONCERNE_PROP";"Proportion d’établissements qui consomment du gaz"
"EACEI_MEASURE";"Mesure EACEI";"BR_CONTRAT_FIN_3_PROP";"Proportion d’établissements avec un contrat d’électricité dont le prix indexé sur le tarif réglementé"
"EACEI_MEASURE";"Mesure EACEI";"DR_CONTRAT_FIN_1_PROP";"Proportion d’établissements avec un contrat de gaz à prix fixe sur une durée contractuelle"
"EACEI_MEASURE";"Mesure EACEI";"BR_CONTRAT_FIN_4_PROP";"Proportion d’établissements avec un contrat d’électricité dont le prix indexé sur le prix de gros"
"EACEI_MEASURE";"Mesure EACEI";"DR_CONTRAT_FIN_2_PROP";"Proportion d’établissements avec un contrat de gaz dont le prix indexé sur le prix de gros"
"EACEI_MEASURE";"Mesure EACEI";"BR_CONTRAT_FIN_5_PROP";"Proportion d’établissements avec un autre type de contrat d’électricité"
"EACEI_MEASURE";"Mesure EACEI";"LR_USQ3";"Quantités de fioul domestique consommées pour la production d’électricité"
"EACEI_MEASURE";"Mesure EACEI";"DR_CONTRAT_FIN_3_PROP";"Proportion d’établissements avec un autre type de contrat de gaz"
"EACEI_MEASURE";"Mesure EACEI";"LR_USQ4";"Quantités de fioul domestique consommées pour le chauffage ou un autre usage"
"EACEI_MEASURE";"Mesure EACEI";"BR_CSTP";"Consommation d’électricité"
"EACEI_MEASURE";"Mesure EACEI";"LR_USQFAB";"Quantités de fioul domestique consommées pour la fabrication"
"EACEI_MEASURE";"Mesure EACEI";"DR_PCT";"Gaz de réseau consommé hors utilisation en tant que matière première"
"EACEI_MEASURE";"Mesure EACEI";"LR_VALA";"Valeur des achats de fioul domestique"
"EACEI_MEASURE";"Mesure EACEI";"BR_CSUP";"Consommation d’électricité"
"EACEI_MEASURE";"Mesure EACEI";"EFFECTIF";"Nombre d’établissements"
"EACEI_MEASURE";"Mesure EACEI";"MR_CSTP";"Consommation d’autres produits pétroliers"
"EACEI_MEASURE";"Mesure EACEI";"ENM_PCT";"Autres énergies consommées hors utilisation en tant que matière première"
"EACEI_MEASURE";"Mesure EACEI";"BR_NTHE";"Production d’électricité d’origine non thermique"
"EACEI_MEASURE";"Mesure EACEI";"FACTURE";"Facture énergétique"
"EACEI_MEASURE";"Mesure EACEI";"NR_CSTP";"Consommation de liqueur noire"
"EACEI_MEASURE";"Mesure EACEI";"BR_PCT";"Électricité consommée hors utilisation en tant que matière première"
"EACEI_MEASURE";"Mesure EACEI";"OR_CSTP";"Consommation de bois et sous-produit du bois"
"EACEI_MEASURE";"Mesure EACEI";"BR_PRIX";"Prix moyen annuel de l’électricité"
"EACEI_MEASURE";"Mesure EACEI";"FR_PRIX";"Prix moyen annuel de la houille"
"EACEI_MEASURE";"Mesure EACEI";"OR_CSUP";"Consommation de bois et sous-produit du bois"
"EACEI_MEASURE";"Mesure EACEI";"GAZR_CSTP";"Consommation de gaz naturel et autres gaz"
"EACEI_MEASURE";"Mesure EACEI";"OR_PRIX";"Prix moyen annuel du bois"
"EACEI_MEASURE";"Mesure EACEI";"BR_PROD";"Électricité autoproduite"
"EACEI_MEASURE";"Mesure EACEI";"GAZR_CSUP";"Consommation de gaz naturel et autres gaz"
"EACEI_MEASURE";"Mesure EACEI";"BR_QAUP";"Électricité achetée"
"EACEI_MEASURE";"Mesure EACEI";"GAZR_PRIX";"Prix moyen annuel du gaz de réseau"
"EACEI_MEASURE";"Mesure EACEI";"OR_QAUP";"Quantités achetées de bois"
"EACEI_MEASURE";"Mesure EACEI";"BR_THER";"Électricité produite d’origine thermique"
"EACEI_MEASURE";"Mesure EACEI";"OR_VALA";"Valeur des achats de bois"
"EACEI_MEASURE";"Mesure EACEI";"BR_USQ1";"Électricité : usage force motrice"
"EACEI_MEASURE";"Mesure EACEI";"GAZR_QAUP";"Quantités achetées de gaz"
"EACEI_MEASURE";"Mesure EACEI";"PP_CSTP";"Consommation de produits pétroliers principaux"
"EACEI_MEASURE";"Mesure EACEI";"BR_USQ2";"Électricité : usages thermiques, y compris production de froid "
"EACEI_MEASURE";"Mesure EACEI";"PP_PCT";"Produits pétroliers consommés hors utilisation en tant que matière première"
"EACEI_MEASURE";"Mesure EACEI";"GAZR_USQ2";"Quantités de gaz consommées en tant que matières premières"
"EACEI_MEASURE";"Mesure EACEI";"PR_AUCO";"Quantité d’hydrogène autoproduite et consommée"
"EACEI_MEASURE";"Mesure EACEI";"BR_USQ4";"Électricité : usage électrolyse"
"EACEI_MEASURE";"Mesure EACEI";"GAZR_USQ3";"Quantités de gaz consommées pour la production d’électricité"
"EACEI_MEASURE";"Mesure EACEI";"PR_CSTP";"Consommation d’hydrogène"
"EACEI_MEASURE";"Mesure EACEI";"BR_USQ6";"Électricité : usage chauffage des locaux et autres"
"EACEI_MEASURE";"Mesure EACEI";"GAZR_USQ4";"Quantités de gaz consommées pour le chauffage ou un autre usage"
"EACEI_MEASURE";"Mesure EACEI";"PR_CSUP";"Consommation d’hydrogène"
"EACEI_MEASURE";"Mesure EACEI";"BR_USQ7";"Électricité : usages thermodynamiques hors chauffage des locaux"
"EACEI_MEASURE";"Mesure EACEI";"GAZR_USQ9";"Quantités de gaz consommées pour la mobilité sur site"
"EACEI_MEASURE";"Mesure EACEI";"PR_PRIX";"Prix moyen annuel d’hydrogène"
"EACEI_MEASURE";"Mesure EACEI";"BR_USQ8";"Électricité : usage éclairage"
"EACEI_MEASURE";"Mesure EACEI";"GAZR_USQFAB";"Quantités de gaz consommées pour la fabrication"
"EACEI_MEASURE";"Mesure EACEI";"BR_USQ9";"Électricité : usage mobilité sur site"
"EACEI_MEASURE";"Mesure EACEI";"GAZR_VALA";"Valeur des achats de gaz"
"EACEI_MEASURE";"Mesure EACEI";"PR_PROD";"Quantité d’hydrogène autoproduite"
"EACEI_MEASURE";"Mesure EACEI";"BR_VALA";"Valeur des achats d'électricité"
"EACEI_MEASURE";"Mesure EACEI";"GR_PRIX";"Prix moyen annuel de la lignite"
"EACEI_MEASURE";"Mesure EACEI";"PR_QAUP";"Quantités achetées d’hydrogène"
"EACEI_MEASURE";"Mesure EACEI";"HR_PRIX";"Prix moyen annuel du coke de houille"
"EACEI_MEASURE";"Mesure EACEI";"PR_USQ2";"Quantités d’hydrogène consommées en tant que matières premières"
"EACEI_MEASURE";"Mesure EACEI";"BR_VEND";"Électricité produite et vendue"
"EACEI_MEASURE";"Mesure EACEI";"IR_CSTP";"Consommation de coke de pétrole"
"EACEI_MEASURE";"Mesure EACEI";"PR_USQ3";"Quantités d’hydrogène utilisées pour la production d’électricité"
"EACEI_MEASURE";"Mesure EACEI";"CAR_CSTP";"Consommation autres combustibles"
"EACEI_MEASURE";"Mesure EACEI";"IR_CSUP";"Consommation de coke de pétrole"
"EACEI_MEASURE";"Mesure EACEI";"PR_USQ4";"Quantités d’hydrogène utilisées pour le chauffage ou un autre usage"
"EACEI_MEASURE";"Mesure EACEI";"CMSR_CSTP";"Consommation de combustibles minéraux solides"
"EACEI_MEASURE";"Mesure EACEI";"PR_USQ8";"Quantités d’hydrogène utilisées pour la combustion, hors production d’électricité "
"EACEI_MEASURE";"Mesure EACEI";"IR_PRIX";"Prix moyen annuel du coke de pétrole"
"EACEI_MEASURE";"Mesure EACEI";"PR_USQ9";"Quantités d’hydrogène utilisées pour la mobilité sur site"
"EACEI_MEASURE";"Mesure EACEI";"CMSR_CSUP";"Consommation de combustibles minéraux solides"
"EACEI_MEASURE";"Mesure EACEI";"PR_VALA";"Valeur des achats d’hydrogène"
"EACEI_MEASURE";"Mesure EACEI";"IR_QAUP";"Quantités achetées de coke de pétrole"
"EACEI_MEASURE";"Mesure EACEI";"CMSR_PRIX";"Prix moyen des combustibles minéraux solides"
"EACEI_MEASURE";"Mesure EACEI";"PR_VEND";"Quantité d’hydrogène autoproduite et vendue"
"EACEI_MEASURE";"Mesure EACEI";"IR_VALA";"Valeur des achats de coke de pétrole"
"EACEI_MEASURE";"Mesure EACEI";"CMSR_QAUP";"Combustibles minéraux solides achetés"
"EACEI_MEASURE";"Mesure EACEI";"QR_CSTP";"Consommation de gazole non routier"
"EACEI_MEASURE";"Mesure EACEI";"JR_CSTP";"Consommation de butane-propane"
"EACEI_MEASURE";"Mesure EACEI";"QR_CSUP";"Consommation de gazole non routier"
"EACEI_MEASURE";"Mesure EACEI";"CMSR_VALA";"Valeur des achats de combustibles minéraux solides"
"EACEI_MEASURE";"Mesure EACEI";"JR_CSUP";"Consommation de butane-propane"
"EACEI_MEASURE";"Mesure EACEI";"QR_PRIX";"Prix moyen annuel du gazole non routier"
"EACEI_MEASURE";"Mesure EACEI";"CMS_PCT";"Combustibles minéraux solides consommés hors utilisation en tant que matière première"
"EACEI_MEASURE";"Mesure EACEI";"COMBPRB";"Consommation de combustibles pour la production d'électricité"
"EACEI_MEASURE";"Mesure EACEI";"JR_PRIX";"Prix moyen annuel du butane-propane"
"EACEI_MEASURE";"Mesure EACEI";"QR_QAUP";"Quantités achetées de gazole non routier"
"EACEI_MEASURE";"Mesure EACEI";"CONSBRT_MILLIERS";"Total brut de la consommation"
"EACEI_MEASURE";"Mesure EACEI";"QR_USQ2";"Quantités de gazole non routier consommées en tant que matières premières"
"EACEI_MEASURE";"Mesure EACEI";"CONSBRT_MILLIONS";"Consommation brute"
"EACEI_MEASURE";"Mesure EACEI";"JR_QAUP";"Quantités achetées de butane-propane"
"EACEI_MEASURE";"Mesure EACEI";"QR_USQ3";"Quantités de gazole non routier consommées pour la production d’électricité"
"EACEI_MEASURE";"Mesure EACEI";"CONSNET_MILLIERS";"Total net de la consommation"
"EACEI_MEASURE";"Mesure EACEI";"QR_USQ4";"Quantités de gazole non routier consommées pour le chauffage ou un autre usage"
"EACEI_MEASURE";"Mesure EACEI";"JR_VALA";"Valeur des achats de butane-propane"
"EACEI_MEASURE";"Mesure EACEI";"CONSNET_MILLIONS";"Consommation nette"
"EACEI_MEASURE";"Mesure EACEI";"QR_USQ9";"Quantités de gazole non routier consommées pour la mobilité sur site"
"EACEI_MEASURE";"Mesure EACEI";"KR_CSTP";"Consommation de fioul lourd"
"EACEI_MEASURE";"Mesure EACEI";"CR_CSTP";"Vapeur consommée"
"EACEI_MEASURE";"Mesure EACEI";"QR_USQFAB";"Quantités de gazole non routier consommées pour la fabrication"
"EACEI_MEASURE";"Mesure EACEI";"KR_CSUP";"Consommation de fioul lourd"
"EACEI_MEASURE";"Mesure EACEI";"QR_VALA";"Valeur des achats de gazole non routier"
"EACEI_MEASURE";"Mesure EACEI";"CR_PCT";"Vapeur consommée hors utilisation en tant que matière première"
"EACEI_MEASURE";"Mesure EACEI";"KR_PRIX";"Prix moyen annuel du fioul lourd"
"EACEI_MEASURE";"Mesure EACEI";"CR_PRIX";"Prix moyen annuel de la vapeur"
"EACEI_MEASURE";"Mesure EACEI";"XR_CSTP";"Consommation de combustibles spéciaux renouvelables"
"EACEI_MEASURE";"Mesure EACEI";"YR_CSTP";"Consommation de combustibles spéciaux non renouvelables"
"EACEI_MEASURE";"Mesure EACEI";"KR_QAUP";"Quantités achetées de fioul lourd"
"EACEI_MEASURE";"Mesure EACEI";"CR_QAUP";"Vapeur achetée"
"EACEI_MEASURE";"Mesure EACEI";"KR_VALA";"Valeur des achats de fioul lourd"
"EACEI_MEASURE";"Mesure EACEI";"LR_CSTP";"Consommation de fioul domestique"
"EACEI_MEASURE";"Mesure EACEI";"LR_CSUP";"Consommation de fioul domestique"
"EACEI_MEASURE";"Mesure EACEI";"LR_PRIX";"Prix moyen annuel du fioul domestique"
"EACEI_MEASURE";"Mesure EACEI";"LR_QAUP";"Quantités achetées de fioul domestique"
"EACEI_MEASURE";"Mesure EACEI";"LR_USQ2";"Quantités de fioul domestique consommées en tant que matières premières"
"NUMBER_EMPL";"Taille en tranches d'effectifs";"E100T249";"100 à 249 salariés"
"NUMBER_EMPL";"Taille en tranches d'effectifs";"E20T49";"20 à 49 salariés"
"NUMBER_EMPL";"Taille en tranches d'effectifs";"E250T499";"250 à 499 salariés"
"NUMBER_EMPL";"Taille en tranches d'effectifs";"E50T99";"50 à 99 salariés"
"NUMBER_EMPL";"Taille en tranches d'effectifs";"E_GE500";"500 salariés et plus"
"NUMBER_EMPL";"Taille en tranches d'effectifs";"_T";"Total"
"OBS_STATUS";"Statut de l'observation";"A";"Normale"
"OBS_STATUS";"Statut de l'observation";"L";"Valeur manquante : les données existent mais ne sont pas collectées (non disponible : nd)"
"TIME_PERIOD";"Période temporelle";"2023";"2023"
"TIME_PERIOD";"Période temporelle";"1996";"1996"
"TIME_PERIOD";"Période temporelle";"1997";"1997"
"TIME_PERIOD";"Période temporelle";"1998";"1998"
"TIME_PERIOD";"Période temporelle";"1999";"1999"
"TIME_PERIOD";"Période temporelle";"2000";"2000"
"TIME_PERIOD";"Période temporelle";"2001";"2001"
"TIME_PERIOD";"Période temporelle";"2002";"2002"
"TIME_PERIOD";"Période temporelle";"2003";"2003"
"TIME_PERIOD";"Période temporelle";"2004";"2004"
"TIME_PERIOD";"Période temporelle";"2005";"2005"
"TIME_PERIOD";"Période temporelle";"2006";"2006"
"TIME_PERIOD";"Période temporelle";"2007";"2007"
"TIME_PERIOD";"Période temporelle";"2008";"2008"
"TIME_PERIOD";"Période temporelle";"2009";"2009"
"TIME_PERIOD";"Période temporelle";"2010";"2010"
"TIME_PERIOD";"Période temporelle";"2011";"2011"
"TIME_PERIOD";"Période temporelle";"2012";"2012"
"TIME_PERIOD";"Période temporelle";"2013";"2013"
"TIME_PERIOD";"Période temporelle";"2014";"2014"
"TIME_PERIOD";"Période temporelle";"2015";"2015"
"TIME_PERIOD";"Période temporelle";"2016";"2016"
"TIME_PERIOD";"Période temporelle";"2017";"2017"
"TIME_PERIOD";"Période temporelle";"2018";"2018"
"TIME_PERIOD";"Période temporelle";"2019";"2019"
"TIME_PERIOD";"Période temporelle";"2020";"2020"
"TIME_PERIOD";"Période temporelle";"2021";"2021"
"TIME_PERIOD";"Période temporelle";"2022";"2022"
"UNIT_MEASURE";"Unité de mesure";"TOE";"Tonnes d'équivalent pétrole"
"UNIT_MEASURE";"Unité de mesure";"GWH";"Gigawattheure"
"UNIT_MEASURE";"Unité de mesure";"EUR_GWH";"Euros par gigawattheure"
"UNIT_MEASURE";"Unité de mesure";"EUR";"Euros"
"UNIT_MEASURE";"Unité de mesure";"PT";"Pourcentage"
"UNIT_MEASURE";"Unité de mesure";"_Z";"Nombre"
"UNIT_MEASURE";"Unité de mesure";"EUR_T";"Euros par tonne"
"UNIT_MEASURE";"Unité de mesure";"T";"Tonne"
"UNIT_MEASURE";"Unité de mesure";"L";"Litre"
"UNIT_MEASURE";"Unité de mesure";"EUR_L";"Euros par litre"
"UNIT_MULT";"Quantité d'unités (en puissance de 10)";"3";"Milliers"
"UNIT_MULT";"Quantité d'unités (en puissance de 10)";"0";"Unités"
"UNIT_MULT";"Quantité d'unités (en puissance de 10)";"6";"Millions"
"GEO";"Géographie";"F";"France"
"GEO";"Géographie";"11";"Île-de-France"
"GEO";"Géographie";"24";"Centre-Val de Loire"
"GEO";"Géographie";"27";"Bourgogne-Franche-Comté"
"GEO";"Géographie";"28";"Normandie"
"GEO";"Géographie";"32";"Hauts-de-France"
"GEO";"Géographie";"44";"Grand Est"
"GEO";"Géographie";"52";"Pays de la Loire"
"GEO";"Géographie";"53";"Bretagne"
"GEO";"Géographie";"75";"Nouvelle-Aquitaine"
"GEO";"Géographie";"76";"Occitanie"
"GEO";"Géographie";"84";"Auvergne-Rhône-Alpes"
"GEO";"Géographie";"93";"Provence-Alpes-Côte d'Azur"
"GEO";"Géographie";"DOM";"Départements d'Outre-mer"
