NAF_T3 : Répartition de la consommation de combustibles par usage en milliers de tonnes-équivalent-pétrole (kTEP) selon le secteur d'activité en NAF rév.2 de l'établissement,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
20,Industrie chimique,1716.8,648,62.2,35.3,0.1,2462.5,6.7,s,s,2.2,9.6,0.6,s,s,s,3.4,4.6,312.3,s,0,s,0,454.2
21,Industrie pharmaceutique,125.3,s,s,23.2,0,148.5,s,s,0.4,s,0.8,0,s,s,0,0.1,0.2,s,s,s,s,s,s
22,Fabrication de produits en caoutchouc et en plastique,118.8,0,s,43,s,163.2,s,s,s,3,4.1,0.1,0,0,0.3,1.2,1.6,0,0,0,0,0,0
23,Fabrication d'autres produits minéraux non métalliques,1225.7,13.2,0,44,1,1283.8,5.9,s,s,3.2,9.4,4.7,s,s,2,21.8,28.8,0.4,0.8,0,0,0,1.2
24,Métallurgie,747.6,21.1,s,44.3,s,815,1.1,s,s,2,11.9,0.3,s,s,1,7.7,9.3,5.5,s,0,s,0,8
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",153.6,1.3,0.2,72.1,7.2,234.4,2,0.3,0,3.6,5.9,0.3,0.1,0.2,0.6,2.5,3.7,0.1,s,0,s,0,0.2
26,"Fabrication de produits informatiques, électroniques et optiques",7.3,s,0,15.8,0,s,0,0,0,0.5,0.6,0,s,s,0,0,0,0.1,0,0,0.2,0,0.3
27,Fabrication d'équipements électriques,38.7,s,0,29.4,s,68.2,s,0,s,0.8,1.1,0,s,s,0,0.5,0.6,0.6,0.5,0,s,0,s
28,Fabrication de machines et équipements n.c.a.,s,s,0,53.8,0.1,90.2,0.2,s,s,4,4.3,1.5,0.7,s,s,1.9,4.8,s,0.1,0,0,0,s
29,Industrie automobile,128.8,0.1,0.6,75.3,0.1,204.8,0.2,s,s,1,1.5,0.1,s,s,s,0.8,1.9,0,0,0,0,0,0
30,Fabrication d'autres matériels de transport,24.1,s,s,55.3,s,85.9,0.1,0,0.5,0.7,1.4,0.1,0,0.2,0.1,0.8,1.1,s,s,s,s,s,s
31,Fabrication de meubles,s,0,s,8.1,0,s,0,0,0,0.8,0.8,0,0,0,0,0.1,0.1,s,s,s,s,s,s
32,Autres industries manufacturières,10.7,0,0,8.6,0,19.3,0,0,0,0.1,0.1,0,s,0,s,0,0,0,s,0,0,0,s
33,Réparation et installation de machines et d'équipements,4.8,0,s,10.9,0,s,1.7,0,0,0.6,2.3,0.6,0,0.1,0.5,2.7,3.8,s,s,s,s,s,s
38,"Collecte, traitement et élimination des déchets ; récupération",64.3,0,0,1.2,0.1,65.6,s,0.6,s,0.3,0.9,3,0.6,0.5,1.1,18.6,23.7,0,0,0,0,0,0
_T,Total,6964.1,691.2,384.7,649.8,15,8704.8,36.2,5.1,14.4,33.3,89,27.9,4,4.4,13.1,143.9,193.4,328.5,138.3,s,10.2,s,477
,,,,,,,,,,,,,,,,,,,,,,,,
Notes : ,,,,,,,,,,,,,,,,,,,,,,,,
"La consommation d'énergie peut différer de la quantité achetée dans le cas d'énergies stockables (fioul par exemple), ou dans le cas de l'électricité (autoproduction consommée) et du bois (une partie non achetée).",,,,,,,,,,,,,,,,,,,,,,,,
s : secret statistique,,,,,,,,,,,,,,,,,,,,,,,,
nd : non disponible,,,,,,,,,,,,,,,,,,,,,,,,
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,,,,,,,,,,,,,,
Source : Enquête sur les consommations d'énergie dans l'industrie 2023,,,,,,,,,,,,,,,,,,,,,,,,
