NAF_T3 : Répartition de la consommation de combustibles par usage en milliers de tonnes-équivalent-pétrole (kTEP) selon le secteur d'activité en NAF rév.2 de l'établissement,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
20,Industrie chimique,1644.1,721.6,106,44.6,0.1,2516.4,s,s,0.6,3,s,1.5,0.8,s,0.3,3.7,s,199,149.4,0,0,14,362.4
21,Industrie pharmaceutique,142.6,s,s,24.9,s,167.4,0.1,0,0.6,0.3,0.9,s,s,s,s,0.1,0.2,s,s,0,0,s,s
22,Fabrication de produits en caoutchouc et en plastique,123,0,s,34.8,s,159.2,s,s,0.3,3.5,4.1,0,0,0.3,0.2,0.4,0.9,0,0,0,0,0,0
23,Fabrication d'autres produits minéraux non métalliques,1435.5,17.5,0,52.6,0.4,1506,9.1,0,0.3,3.1,12.5,7.1,s,s,1.6,17.5,26.8,0.4,0.8,0,0,0,1.2
24,Métallurgie,792.3,53.2,0.6,53,0.1,899.3,s,s,s,s,10.2,0.4,0.4,0,1.2,7.6,9.6,5.8,0.4,0,0,0,6.2
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",153.5,s,s,79.3,0.1,233.1,0.2,0,0.4,s,s,0.2,s,s,0.4,2.1,2.8,0.9,0.4,0,0,0,1.3
26,"Fabrication de produits informatiques, électroniques et optiques",s,s,0,18,0,26.3,s,s,0.3,0.5,0.8,0,s,s,s,0,0.2,s,0,0,0,0,s
27,Fabrication d'équipements électriques,35.1,s,0,35.8,s,71.1,s,0,s,1.3,1.7,s,0,s,0.1,0.9,s,s,s,0,0,0,s
28,Fabrication de machines et équipements n.c.a.,s,s,0,65.1,0,99.5,2.7,0,0,2.9,5.7,2,s,s,1.6,1.5,5.4,0,0.1,0,0,0,0.1
29,Industrie automobile,127.1,s,2.9,83.5,s,213.6,s,s,0.1,0.9,1.1,0.2,s,s,0.3,0.7,s,0,s,0,0,0,s
30,Fabrication d'autres matériels de transport,25.6,s,0.1,65.6,s,96,s,s,1.1,0.4,1.6,s,0,0.1,0,0.7,s,s,s,0,0,0,2.1
31,Fabrication de meubles,7,0,0,9.4,0.1,16.5,0,0,0,1.9,2,0,0,0,0,0,0,s,s,0,0,s,s
32,Autres industries manufacturières,12.6,0,0,9.8,0,22.4,s,0,s,0.2,0.2,0,0,0.1,0,0,0.1,s,s,0,0,s,s
33,Réparation et installation de machines et d'équipements,2.3,s,0.5,9.6,0,s,1,0,0,s,s,0.6,0.2,1.9,0.6,6.3,9.7,s,0,0,0,0,s
38,"Collecte, traitement et élimination des déchets ; récupération",53.8,s,s,2.4,0.3,s,s,s,0,0.5,s,3.2,s,0.3,1.2,17.8,s,0,0,0,0,0,0
_T,Total,7500.8,798.6,492.4,765.5,5.9,9563.3,95.6,1,6.4,37.7,140.7,36.2,4.1,6.3,13.7,127.7,188,211.1,151.8,0,0,14,376.9
,,,,,,,,,,,,,,,,,,,,,,,,
"Champ : Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,,,,,,,,,,,,,,
Source : Enquête sur les consommations d'énergie dans l'industrie 2022,,,,,,,,,,,,,,,,,,,,,,,,
"Note : la consommation d'énergie peut différer de la quantité achetée dans le cas d'énergies stockables (fioul par exemple), ou dans le cas de l'électricité (autoproduction consommée) et du bois (une partie non achetée).",,,,,,,,,,,,,,,,,,,,,,,,
