SL_T1 : Chiffres clés relatifs à la consommation d'énergie dans l'industrie (y compris IAA),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
Prix moyen annuel du gaz de réseau (en € / Mwh),11,12,11,11,15,17,16,17,16,20,21,26,27,32,28,27,29,31.0,32.0,30.0,29.0,25.0,24,26,25,21
Prix moyen annuel de la houille (en € / t),52,57,54,46,52,64,67,59,65,90,90,91,88,96,95,143,180,171.0,130.0,115.0,111.0,111.0,164,158,154,140
"Prix moyen annuel de la lignite, du charbon pauvre (en € / t)",nd,nd,nd,nd,nd,nd,nd,nd,nd,97,89,81,79,118,98,111,154,118.0,122.0,110.0,105.0,108.0,so,so,so,so
Prix moyen annuel du coke de houille (en € / t),119,113,112,98,109,134,129,127,238,227,227,190,204,242,206,284,359,322.0,268.0,228.0,233.0,199.0,so,so,so,so
Prix moyen annuel du coke de pétrole (en € / t),81,84,76,76,136,113,113,113,98,88,88,99,109,149,131,150,189,165.0,143.0,130.0,143.0,115.0,132,192,168,136
Prix moyen annuel du butane-propane (en € / t),194,209,175,212,329,301,278,286,315,397,403,446,475,562,404,515,672,730.0,655.0,591.0,391.0,362.0,426,509,414,339
Prix moyen annuel du fioul lourd (en € / t),116,115,96,116,182,164,174,186,173,228,238,284,295,386,303,380,484,566.0,508.0,480.0,343.0,297.0,423,455,482,457
Prix moyen annuel du fioul domestique (en € / l),0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.5,0.7,0.7,0.8,0.8,0.7,0.6,0.5,0.6,0.7,0.8,0.6
Prix moyen annuel du bois (en € / t),nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,37.0,40.0,43.0,48.0,42.0,41,42,42,45
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Remarque : Depuis 2019, la consommation d’énergie inclue l’hydrogène. La base de sondage a été élargie en 2013 entraînant une rupture de série (la nouvelle base de sondage comprend plus d’unités ce qui a un impact à la hausse sur les résultats). Néanmoins, les données sur la période 2005-2013 ont été estimées pour être comparables aux années postérieures. ",,,,,,,,,,,,,,,,,,,,,,,,,,
"Champ : après la rupture de série (2005) : France, industrie y compris industrie agroalimentaire (hors artisanat commercial), hors industrie de l'énergie, établissements de 20 salariés ou plus ; avant la rupture de série (2005) : France métropolitaine, industrie hors industrie agroalimentaire, hors industrie de l'énergie, établissements de 20 salariés ou plus.",,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Insee, Enquêtes annuelles sur les consommations d'énergie dans l'industrie.",,,,,,,,,,,,,,,,,,,,,,,,,,
