NAF_T3 : Répartition de la consommation de combustibles par usage en milliers de tonnes-équivalent-pétrole (kTEP) selon le secteur d'activité en NAF rév.2 de l'établissement,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60
13 - Fabrication de textiles,0,0,0,0,0,91,0,0,35,126,0,0,0,0,0,3,0,0,1,4,s,0,0,s,2,s,s,s,2,3,0,0,0,0,0,0,0,0,0,0,0,so,0,0,0,0,0,0,0,0,0,0,0,0,0,0,so,0,0,0
14 - Industrie de l'habillement,0,0,0,0,0,9,0,0,4,13,0,0,0,0,0,s,0,0,s,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,so,0,0,0,0,0,0,0,0,0,0,0,0,0,0,so,0,0,0
15 - Industrie du cuir et de la chaussure,0,0,0,0,0,4,0,0,5,9,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,s,0,0,s,0,0,0,0,0,0,0,0,0,0,0,0,so,0,0,0,0,0,0,0,0,0,0,0,0,0,0,so,0,0,0
"16 - Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles - fabrication d'articles en vannerie et sparterie",0,0,0,0,0,32,0,s,4,s,0,0,0,0,0,s,0,0,3,s,s,0,0,s,3,s,s,0,15,18,0,0,0,0,0,s,0,0,0,s,277,so,0,s,s,0,0,0,0,0,0,0,0,0,0,s,so,0,s,10
17 - Industrie du papier et du carton,s,0,s,0,16,733,0,47,48,828,0,0,0,0,0,s,s,0,s,7,s,0,s,s,26,1,0,0,3,5,0,0,0,s,s,766,0,0,0,766,349,so,s,s,363,82,0,s,0,s,s,0,0,0,s,369,so,s,s,390
18 - Imprimerie et reproduction d'enregistrements,0,0,0,0,0,26,0,0,14,40,0,0,0,0,0,s,s,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,so,0,s,s,0,0,0,0,0,1,0,0,s,s,s,so,0,0,s
20 - Industrie chimique,s,s,s,s,448,1659,1004,41,145,2849,s,s,0,0,s,7,2139,0,3,2149,s,0,s,1,s,4,1,1,7,12,s,s,s,s,3271,0,s,0,0,s,69,so,s,0,s,s,s,0,s,26,6,0,0,3,10,950,so,15,18,983
21 - Industrie pharmaceutique,0,0,0,0,0,123,0,2,43,168,0,0,0,0,0,s,s,0,0,1,0,0,0,0,0,s,0,0,0,s,0,0,0,0,0,0,0,0,0,0,0,so,0,0,0,0,0,0,0,0,s,0,0,0,s,41,so,0,6,46
22 - Fabrication de produits en caoutchouc et en plastique,0,0,0,0,0,137,0,s,s,203,0,0,0,0,0,7,0,0,5,13,11,0,0,2,13,1,0,1,5,6,0,0,0,0,0,0,0,0,0,0,14,so,0,1,14,0,0,0,0,0,0,0,0,0,0,s,so,s,10,59
23 - Fabrication d'autres produits minéraux non métalliques,210,1,0,0,214,1413,10,0,69,1492,s,s,0,0,423,s,0,s,3,12,107,0,0,0,107,9,0,1,23,33,41,11,0,0,53,0,0,0,0,0,s,so,0,s,55,69,0,0,0,69,233,0,0,0,233,s,so,0,s,17
24 - Métallurgie,687,s,s,s,5101,1019,s,s,79,1100,s,s,0,s,s,s,0,s,3,s,s,s,0,s,6,5,0,0,32,39,s,0,0,0,s,0,0,0,0,0,0,so,0,0,0,0,0,0,0,0,0,s,0,0,s,21,so,0,2,23
"25 - Fabrication de produits métalliques, à l'exception des machines et des équipements",s,s,0,s,s,198,1,0,105,304,0,0,0,0,0,21,3,0,16,42,0,0,0,0,0,1,s,0,10,s,0,0,0,0,0,0,0,0,0,0,s,so,0,s,2,0,0,0,0,0,0,0,0,0,0,0,so,0,1,1
"26 - Fabrication de produits informatiques, électroniques et optiques",0,0,0,0,0,s,1,0,26,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,1,1,0,0,0,0,0,0,0,0,0,0,0,so,0,0,0,0,0,0,0,0,0,0,0,0,0,0,so,0,s,s
27 - Fabrication d'équipements électriques,s,0,0,0,s,47,0,0,51,98,0,0,0,0,0,3,0,0,2,5,0,0,0,0,0,s,0,s,3,4,0,0,0,0,0,0,0,0,0,0,0,so,0,s,s,0,0,0,0,0,0,0,0,0,0,0,so,0,s,s
28 - Fabrication de machines et équipements n.c.a.,0,0,0,0,0,46,0,0,97,143,0,0,0,0,0,s,0,s,5,11,0,0,0,0,0,3,1,0,6,10,s,s,0,s,0,0,0,0,0,0,0,so,0,1,1,0,0,0,0,0,0,0,0,0,0,0,so,0,s,s
29 - Industrie automobile,s,0,0,0,s,175,s,s,141,323,0,0,0,0,0,s,0,2,5,s,s,0,s,s,1,0,1,0,3,5,s,0,s,0,s,0,0,0,0,0,s,so,0,s,2,0,0,0,0,0,s,0,0,0,s,s,so,0,s,13
30 - Fabrication d'autres matériels de transport,0,0,0,0,0,33,s,s,65,s,0,0,0,0,0,s,s,0,2,4,0,0,0,s,s,s,s,0,2,3,s,0,0,0,s,0,0,0,0,0,0,so,0,s,s,0,0,0,0,0,0,0,0,0,0,s,so,0,s,6
31 - Fabrication de meubles,0,0,0,0,0,7,0,0,12,19,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,so,0,13,14,0,0,0,0,0,0,0,0,0,0,0,so,0,0,0
32 - Autres industries manufacturières,0,0,0,0,0,s,0,s,13,29,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,so,0,0,0,0,0,0,0,0,0,0,0,0,0,3,so,0,s,s
33 - Réparation et installation de machines et d'équipements,0,0,0,0,0,s,s,0,19,25,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,s,s,0,3,4,0,0,0,0,0,0,0,0,0,0,0,so,0,0,0,0,0,0,0,0,0,0,0,0,0,s,so,0,s,2
38 - Récupération,0,0,0,0,0,102,0,s,s,122,0,0,0,0,0,s,s,0,0,5,0,0,0,0,0,6,0,0,27,32,0,0,0,0,0,0,0,0,0,0,0,so,0,s,s,s,0,0,0,s,0,0,0,0,0,12,so,0,0,15
Note : la répartition des usages de la vapeur ne concerne que la quantité achetée de cette énergie.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Insee, Enquête annuelle sur les consommations d'énergie dans l'industrie 2017.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
