SL_T1 : Chiffres clés relatifs à la consommation d'énergie dans l'industrie (y compris IAA),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
Énergies non marchandes consommées hors utilisation en tant que matière première (en %),nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,11.8,12.4,12.1,14.9,13.5,13.1,12.5,12.6,12.1,13.4,13.0,14.0,14.4,14.1,13.8
Total (en %),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100.0,100.0,100.0,100.0,100.0,100,100,100
Prix moyen annuel de l'électricité (en € / Mwh),46.2,45.1,43.2,42.3,39.8,38.9,39.1,39.2,41.6,44.7,45.4,51,50.5,53.4,56.4,57.4,61.2,62.5,65.2,66.3,65.6,60.0,58,60,63
Prix moyen annuel de la vapeur (en € / t),10.3,10.5,9.7,9.7,13.1,13,12.5,13,13,18.1,18,21.9,21.8,28.2,23.4,23.3,26.5,29.0,28.5,27.0,24.3,22.0,22,25,22
Prix moyen annuel du gaz de réseau (en € / Mwh),11.2,11.9,11.4,11,15,17.4,15.6,16.8,16.4,20.4,20.6,25.7,26.8,31.9,28.4,27,28.6,30.9,32.4,30.0,28.5,25.0,24,26,24.5
Prix moyen annuel de la houille (en € / t),52.1,56.6,54.2,45.7,52.3,63.7,66.7,58.8,65.1,90.4,90.2,90.7,87.5,96,95.4,142.9,180,171.4,129.6,114.9,111.2,111.0,164,158,154
"Prix moyen annuel de la lignite, du charbon pauvre (en € / t)",nd,nd,nd,nd,nd,nd,nd,nd,nd,97.3,88.6,81.3,79.3,117.6,98.3,110.6,154,118.2,122.0,109.9,104.9,108.0,so,so,so
Prix moyen annuel du coke de houille (en € / t),118.9,112.6,111.7,98.4,109.2,134.1,128.8,127.1,238.3,226.8,227.3,190.3,203.7,242,205.6,283.9,358.7,322.2,268.0,228.4,233.4,199.0,so,so,so
Prix moyen annuel du coke de pétrole (en € / t),81.1,84.3,76.4,76.2,136.3,112.5,113.1,112.8,98.3,88.2,88.2,98.6,109.1,148.6,130.7,149.8,188.8,165.2,142.8,130.4,143.0,115.0,132,192,168
Prix moyen annuel du butane-propane (en € / t),193.8,209.2,174.5,212.1,329.4,300.9,277.7,285.6,315,396.5,403,445.8,475.3,561.9,403.8,514.7,672.4,730.4,655.0,590.7,391.1,362.0,426,509,414
Prix moyen annuel du fioul lourd (en € / t),115.9,114.8,95.5,115.8,182,163.7,174.4,185.8,173.4,228.3,237.7,284.4,294.6,385.9,302.6,380.2,483.5,566.1,507.6,479.8,342.5,297.0,423,455,482
Prix moyen annuel du fioul domestique (en € / l),0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.5,0.7,0.7,0.8,0.8,0.7,0.6,0.5,0.6,0.7,0.8
Prix moyen annuel du bois (en € / t),nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,36.7,39.6,43.0,48.1,42.0,41,42,42
"Remarque : Depuis 2019, la consommation d’énergie inclue l’hydrogène (295 000 tep en 2019). La base de sondage a été élargie en 2013 entraînant une rupture de série (la nouvelle base de sondage comprend plus d’unités ce qui a un impact à la hausse sur les résultats). Néanmoins, les données sur la période 2005-2013 ont été estimées pour être comparable aux années postérieures. ",,,,,,,,,,,,,,,,,,,,,,,,,
"Champ : après la rupture de série (2005) : France, industrie y compris industrie agroalimentaire (hors artisanat commercial), hors industrie de l'énergie, établissements de 20 salariés ou plus ; avant la rupture de série (2005) : France métropolitaine, industrie hors industrie agroalimentaire, hors industrie de l'énergie, établissements de 20 salariés ou plus.",,,,,,,,,,,,,,,,,,,,,,,,,
"Source : Insee, Enquêtes annuelles sur les consommations d'énergie dans l'industrie.",,,,,,,,,,,,,,,,,,,,,,,,,
